time,temperature_2m,city
2025-05-25T07:00,17.4,Moscow
2025-05-25T08:00,20.3,Moscow
2025-05-25T09:00,23.8,Moscow
2025-05-25T10:00,25.9,Moscow
2025-05-25T11:00,27.1,Moscow
2025-05-25T12:00,26.9,Moscow
2025-05-25T13:00,27.2,Moscow
2025-05-25T14:00,27.4,Moscow
2025-05-25T15:00,27.4,Moscow
2025-05-25T16:00,27.3,Moscow
2025-05-25T17:00,26.9,Moscow
2025-05-25T18:00,26.1,Moscow
2025-05-25T19:00,25.0,Moscow
2025-05-25T20:00,23.0,Moscow
2025-05-25T21:00,21.8,Moscow
2025-05-25T22:00,20.6,Moscow
2025-05-25T23:00,20.0,Moscow
2025-05-26T00:00,18.9,Moscow
2025-05-26T01:00,17.2,Moscow
2025-05-26T02:00,16.3,Moscow
2025-05-26T03:00,15.6,Moscow
2025-05-26T04:00,15.1,Moscow
2025-05-26T05:00,14.6,Moscow
2025-05-26T06:00,16.1,Moscow
2025-05-26T07:00,17.8,Moscow
2025-05-26T08:00,20.1,Moscow
2025-05-26T09:00,23.3,Moscow
2025-05-26T10:00,25.7,Moscow
2025-05-26T11:00,27.7,Moscow
2025-05-26T12:00,27.6,Moscow
2025-05-26T13:00,28.1,Moscow
2025-05-26T14:00,28.4,Moscow
2025-05-26T15:00,27.9,Moscow
2025-05-26T16:00,27.6,Moscow
2025-05-26T17:00,26.9,Moscow
2025-05-26T18:00,26.1,Moscow
2025-05-26T19:00,25.0,Moscow
2025-05-26T20:00,23.5,Moscow
2025-05-26T21:00,22.5,Moscow
2025-05-26T22:00,21.2,Moscow
2025-05-26T23:00,20.4,Moscow
2025-05-27T00:00,20.0,Moscow
2025-05-27T01:00,19.2,Moscow
2025-05-27T02:00,18.6,Moscow
2025-05-27T03:00,18.3,Moscow
2025-05-27T04:00,17.8,Moscow
2025-05-27T05:00,17.3,Moscow
2025-05-27T06:00,18.0,Moscow
2025-05-27T07:00,18.7,Moscow
2025-05-27T08:00,19.9,Moscow
2025-05-27T09:00,22.5,Moscow
2025-05-27T10:00,23.9,Moscow
2025-05-27T11:00,24.8,Moscow
2025-05-27T12:00,24.9,Moscow
2025-05-27T13:00,25.3,Moscow
2025-05-27T14:00,25.7,Moscow
2025-05-27T15:00,25.8,Moscow
2025-05-27T16:00,26.0,Moscow
2025-05-27T17:00,25.9,Moscow
2025-05-27T18:00,25.4,Moscow
2025-05-27T19:00,24.8,Moscow
2025-05-27T20:00,23.6,Moscow
2025-05-27T21:00,21.8,Moscow
2025-05-27T22:00,20.4,Moscow
2025-05-27T23:00,19.3,Moscow
